seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12034,88373,29053,44839,218342,19715,133487,67995,190721,84564,102868,32956,12031,77102,5456,1440,59774,29142,106233,251536,173864,21611,343227,6615,28046,259914,39123,39290,216168,31143,405698,240058,2022-11-15T11:15:32.968000-05:00,25.34,32.37,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
1.0,1.0,12037,88378,29060,44824,218366,19710,133238,67943,190740,84533,102869,32936,12029,77146,5454,1446,59805,29130,106311,251477,173952,21613,343290,6615,28058,259991,39139,39278,216062,31123,405770,239738,2022-11-15T11:15:33.968000-05:00,25.338720330237358,32.37904024767802,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
2.0,1.0,12037,88362,29072,44833,218309,19713,132993,67985,190727,84524,102835,32913,12032,77108,5452,1447,59769,29143,106094,251501,174131,21595,343008,6612,28057,260021,39133,39287,216100,31112,405952,239980,2022-11-15T11:15:34.968000-05:00,25.300649214659686,32.35,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
3.0,1.0,12033,88400,29085,44813,218371,19714,133108,67992,190765,84540,102783,32897,12033,77106,5449,1445,59769,29136,106350,251407,174038,21596,342905,6610,28068,259984,39138,39291,216052,31119,405638,239784,2022-11-15T11:15:35.968000-05:00,25.311115745568298,32.35,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
4.0,1.0,12034,88321,29107,44804,218432,19712,133183,67960,190707,84533,102762,32868,12030,77196,5454,1445,59830,29136,106281,251451,174150,21604,343175,6609,28077,259830,39120,39282,216025,31094,405463,239606,2022-11-15T11:15:36.968000-05:00,25.32,32.35,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
5.0,1.0,12038,88338,29068,44789,218389,19719,132943,67970,190762,84526,102784,32850,12030,77141,5452,1445,59793,29142,106284,251516,173924,21600,343307,6607,28066,259847,39127,39266,216132,31108,405591,239668,2022-11-15T11:15:37.968000-05:00,25.325536082474226,32.34815463917526,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
6.0,1.0,12033,88358,29073,44765,218348,19717,133133,67968,190791,84529,102809,32832,12031,77073,5450,1446,59794,29135,106206,251633,174085,21603,343056,6611,28068,259789,39129,39249,215969,31102,405541,239733,2022-11-15T11:15:38.968000-05:00,25.34568181818182,32.34215909090909,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
7.0,1.0,12034,88320,29077,44756,218257,19716,133063,67998,190720,84518,102786,32816,12031,77132,5451,1445,59767,29142,106295,251662,174024,21597,342994,6607,28070,259825,39120,39256,216077,31111,405894,239692,2022-11-15T11:15:39.968000-05:00,25.324926315789472,32.34492631578947,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
8.0,1.0,12037,88340,29107,44787,218402,19720,133081,68025,190738,84508,102803,32804,12031,77155,5450,1445,59782,29149,106143,251606,173984,21594,343085,6604,28068,259862,39117,39244,216117,31092,405739,239575,2022-11-15T11:15:40.968000-05:00,25.31904663212435,32.326984455958545,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
9.0,1.0,12041,88345,29138,44786,218395,19723,133126,68011,190733,84515,102832,32789,12032,77101,5447,1446,59786,29131,106251,251760,174006,21600,343124,6604,28056,259870,39117,39246,216095,31080,405637,239608,2022-11-15T11:15:41.968000-05:00,25.33327141382869,32.32,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
10.0,1.0,12040,88352,29077,44773,218270,19721,133263,68019,190748,84502,102819,32771,12032,77159,5447,1443,59776,29129,106127,251714,173980,21596,343218,6602,28069,259787,39105,39252,216070,31079,405505,239727,2022-11-15T11:15:42.968000-05:00,25.312623966942148,32.32,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
11.0,1.0,12036,88312,29084,44762,218310,19724,133299,68043,190778,84495,102789,32753,12035,77207,5447,1443,59782,29129,106194,251707,173960,21589,343357,6599,28074,259848,39107,39245,216033,31071,405441,239721,2022-11-15T11:15:43.968000-05:00,25.30801235839341,32.3159938208033,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
12.0,1.0,12039,88317,29129,44762,218299,19722,133287,68041,190735,84502,102794,32737,12033,77121,5451,1443,59797,29134,106135,251693,173928,21587,343264,6597,28070,259828,39113,39231,216093,31053,405745,239782,2022-11-15T11:15:44.968000-05:00,25.32,32.30568181818182,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
13.0,1.0,12041,88341,29155,44764,218246,19726,133118,68014,190730,84499,102794,32713,12030,77134,5450,1442,59805,29135,106385,251685,173967,21586,343154,6595,28058,259760,39112,39222,216098,31052,405876,239650,2022-11-15T11:15:45.968000-05:00,25.310712074303407,32.29071207430341,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
14.0,1.0,12040,88327,29141,44753,218254,19729,133047,68010,190689,84482,102803,32698,12032,77158,5449,1444,59784,29131,106346,251778,173946,21585,343243,6593,28067,259737,39110,39233,216039,31058,405777,239519,2022-11-15T11:15:46.968000-05:00,25.3049587628866,32.29487628865979,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
15.0,1.0,12036,88314,29122,44752,218405,19726,133109,67971,190710,84494,102795,32681,12035,77177,5445,1445,59791,29137,106250,251760,173906,21590,343045,6593,28077,259669,39101,39227,215985,31059,405757,239606,2022-11-15T11:15:47.968000-05:00,25.30472652218782,32.28890608875129,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
16.0,1.0,12038,88323,29089,44748,218449,19721,133009,67992,190729,84488,102753,32660,12033,77259,5448,1447,59787,29129,106255,251734,174001,21592,343057,6591,28066,259660,39106,39216,215951,31054,405720,239562,2022-11-15T11:15:48.968000-05:00,25.294406604747163,32.27559339525284,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
17.0,1.0,12039,88321,29133,44732,218398,19715,133034,68031,190697,84485,102784,32637,12028,77274,5448,1446,59792,29128,106354,251780,174042,21588,343128,6589,28076,259672,39112,39220,216009,31051,405614,239566,2022-11-15T11:15:49.968000-05:00,25.30181443298969,32.274092783505154,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
18.0,1.0,12037,88323,29110,44750,218306,19716,133043,68048,190663,84491,102789,32616,12029,77228,5444,1444,59780,29134,106387,251769,173943,21584,343078,6585,28072,259748,39119,39222,216110,31055,405594,239668,2022-11-15T11:15:50.968000-05:00,25.31,32.25755417956656,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
19.0,1.0,12034,88300,29074,44749,218317,19723,133025,68054,190697,84481,102787,32602,12029,77196,5444,1442,59788,29131,106248,251731,173806,21586,343024,6586,28077,259719,39112,39209,216008,31048,405804,239631,2022-11-15T11:15:51.968000-05:00,25.329628482972137,32.25,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
20.0,1.0,12036,88289,29083,44739,218321,19721,133178,68037,190727,84497,102833,32612,12029,77210,5447,1445,59840,29138,106155,251752,173728,21585,343136,6588,28064,259793,39124,39227,216141,31064,405768,239650,2022-11-15T11:15:52.968000-05:00,25.31943298969072,32.27056701030928,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
21.0,1.0,12039,88282,29080,44752,218321,19719,133173,68079,190690,84498,102813,32612,12031,77184,5446,1444,59798,29136,106163,251708,173656,21579,343086,6587,28064,259823,39131,39228,216104,31076,405804,239803,2022-11-15T11:15:53.968000-05:00,25.29564049586777,32.29435950413223,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
22.0,1.0,12036,88316,29137,44779,218329,19723,133137,68043,190699,84501,102747,32609,12032,77136,5441,1444,59786,29140,106197,251696,173963,21582,343304,6586,28074,259843,39131,39232,216122,31065,405910,239562,2022-11-15T11:15:54.968000-05:00,25.297502579979362,32.31500515995872,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
23.0,1.0,12038,88327,29161,44768,218259,19729,133146,68059,190709,84493,102755,32583,12036,77147,5444,1441,59793,29133,106345,251713,174020,21573,343201,6585,28067,259871,39125,39208,216219,31047,405927,239595,2022-11-15T11:15:55.968000-05:00,25.3,32.32,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
24.0,1.0,12036,88276,29096,44754,218286,19719,133140,68049,190691,84508,102733,32562,12033,77103,5442,1445,59772,29132,106378,251750,174041,21579,343106,6582,28071,259837,39119,39186,215993,31019,406033,239546,2022-11-15T11:15:56.968000-05:00,25.3,32.32,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
25.0,1.0,12035,88263,29093,44757,218289,19717,133135,68043,190740,84505,102774,32568,12037,77164,5446,1447,59795,29159,106493,251780,174174,21613,343500,6603,28276,261792,39511,41030,219499,32607,406306,240115,2022-11-15T11:15:57.968000-05:00,25.317134020618557,32.345701030927835,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
26.0,1.0,12058,88987,29097,46047,218511,19808,133272,68248,191183,85219,103982,40729,12069,77492,5477,1447,59909,29328,106770,252139,174596,21661,344107,6704,28532,262876,39884,43357,221874,34046,406719,240702,2022-11-15T11:15:58.968000-05:00,25.328876288659792,34.027618556701036,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
27.0,1.0,12084,89829,29099,47545,218771,19912,133432,68487,191687,86050,105377,50206,12106,77860,5513,1447,60035,29519,107069,252551,175061,21710,344734,6818,28790,263754,40240,45699,223941,35407,407150,241270,2022-11-15T11:15:59.968000-05:00,25.339185567010308,35.976072164948455,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
28.0,1.0,12099,90196,29134,48576,219121,19943,133520,68478,191843,86418,106069,62417,12118,78047,5535,1446,60095,29579,107119,252663,175128,21723,345219,6901,28896,263870,40400,46816,224914,35992,407180,241502,2022-11-15T11:16:00.968000-05:00,25.320971074380164,38.01386363636364,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
29.0,1.0,12107,90458,29120,48895,219081,19974,133551,68477,192023,86665,106492,72321,12120,78206,5564,1444,60132,29614,107279,252741,174966,21751,345634,6963,28965,263981,40514,47488,225381,36397,407005,241671,2022-11-15T11:16:01.968000-05:00,25.359298969072164,39.75073195876289,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,baseline,humidity
30.0,1.0,12110,90663,29109,49388,219249,19989,133355,68471,192036,86814,106744,79151,12125,78200,5584,1445,60146,29622,107255,253011,175105,21747,345849,7010,28991,264116,40560,47910,225604,36641,407432,241634,2022-11-15T11:16:02.968000-05:00,25.34,41.16477272727273,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
31.0,1.0,12117,90793,29126,49585,219121,19992,133461,68338,192042,86944,106954,83892,12128,78263,5602,1445,60105,29630,107322,253023,174969,21761,345739,7051,29008,264195,40616,48183,225900,36790,407124,241543,2022-11-15T11:16:03.968000-05:00,25.34,42.29036082474227,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
32.0,1.0,12120,90943,29121,49641,219160,20005,133596,68320,192158,87003,107033,86060,12128,78319,5623,1448,60157,29637,107207,253144,175040,21749,345783,7086,29019,264453,40637,48335,225881,36911,407099,241619,2022-11-15T11:16:04.968000-05:00,25.34077399380805,43.171857585139314,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
33.0,1.0,12120,91013,29155,49797,219161,20003,133546,68368,192166,87071,107077,87072,12128,78409,5631,1447,60095,29620,107316,253098,175171,21746,345612,7110,29035,264337,40649,48398,226051,36971,407015,241621,2022-11-15T11:16:05.968000-05:00,25.35219689119171,43.848217616580314,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
34.0,1.0,12119,91010,29144,49718,219137,20009,133545,68252,192146,87128,107061,87671,12128,78332,5645,1446,60109,29617,107393,253162,175228,21740,345719,7130,29036,264327,40656,48431,226007,37013,407171,241590,2022-11-15T11:16:06.968000-05:00,25.371453608247425,44.37378350515464,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
35.0,1.0,12118,91096,29152,49740,219254,20003,133659,68318,192204,87134,107172,87659,12126,78315,5662,1448,60140,29612,107343,253223,175182,21736,345890,7147,29031,264270,40674,48451,225990,37063,406857,241532,2022-11-15T11:16:07.968000-05:00,25.376470588235293,44.737647058823526,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
36.0,1.0,12123,91127,29154,49699,219301,20003,133626,68285,192196,87168,107143,87394,12125,78268,5668,1449,60195,29612,107305,253319,175220,21742,346116,7158,29017,264095,40687,48417,225945,37064,407172,241134,2022-11-15T11:16:08.968000-05:00,25.364164948453606,44.99956701030928,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
37.0,1.0,12119,91105,29159,49761,219304,20001,133506,68296,192224,87149,107221,87026,12123,78274,5676,1451,60182,29607,107253,253401,175337,21748,345919,7170,29030,264068,40684,48353,225882,37053,407106,241680,2022-11-15T11:16:09.968000-05:00,25.377605779153765,45.1787306501548,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
38.0,1.0,12119,91124,29137,49823,219389,20002,133584,68356,192250,87176,107200,86639,12124,78266,5683,1450,60129,29618,107369,253387,175092,21755,346013,7177,29041,264132,40675,48321,225860,37057,407277,241822,2022-11-15T11:16:10.968000-05:00,25.37815082644628,45.294452479338844,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
39.0,1.0,12122,91130,29134,49793,219235,20002,133698,68335,192164,87197,107160,86209,12124,78343,5688,1448,60165,29607,107336,253328,175097,21744,345909,7183,29027,264032,40667,48256,225854,37033,407150,241688,2022-11-15T11:16:11.968000-05:00,25.403041237113403,45.37824742268041,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
40.0,1.0,12120,91122,29148,49750,219169,20003,133531,68295,192165,87208,107131,85662,12125,78279,5691,1448,60146,29598,107320,253315,175187,21748,345957,7191,29029,263940,40664,48181,225772,37006,407156,241558,2022-11-15T11:16:12.968000-05:00,25.393247422680414,45.423350515463916,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
41.0,1.0,12120,91124,29148,49742,219227,19997,133469,68324,192178,87224,107159,85099,12127,78225,5693,1447,60135,29587,107468,253283,175157,21762,345894,7197,29032,263983,40656,48087,225661,36957,407308,241695,2022-11-15T11:16:13.968000-05:00,25.367319587628867,45.433659793814435,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
42.0,1.0,12123,91116,29148,49714,219257,19988,133492,68313,192115,87204,107198,84552,12124,78243,5697,1446,60113,29587,107545,253331,175225,21752,345742,7198,29040,263943,40635,47991,225453,36940,407163,241620,2022-11-15T11:16:14.968000-05:00,25.38397727272727,45.42409090909091,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
43.0,1.0,12121,91100,29144,49674,219335,19988,133537,68277,192100,87167,107150,84046,12123,78258,5698,1448,60131,29581,107423,253324,175104,21748,345816,7202,29032,263904,40628,47890,225433,36894,406978,241490,2022-11-15T11:16:15.968000-05:00,25.39,45.387103092783505,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
44.0,1.0,12119,91103,29153,49652,219388,19988,133561,68267,192157,87160,107114,83572,12121,78207,5700,1448,60119,29572,107367,253328,175235,21745,345879,7203,29018,263812,40619,47784,225383,36859,407076,241536,2022-11-15T11:16:16.968000-05:00,25.38078350515464,45.34235051546392,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
45.0,1.0,12118,91110,29151,49663,219354,19985,133714,68264,192135,87175,107114,83125,12121,78163,5702,1448,60098,29567,107270,253237,175303,21745,345741,7201,28996,263685,40594,47695,225179,36804,407294,241646,2022-11-15T11:16:17.968000-05:00,25.37,45.270619195046436,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
46.0,1.0,12120,91104,29152,49660,219264,19982,133673,68288,192119,87170,107066,82587,12121,78193,5704,1445,60118,29561,107058,253273,175356,21749,345791,7198,28992,263756,40578,47598,225096,36743,407133,241803,2022-11-15T11:16:18.968000-05:00,25.375264248704664,45.18262176165803,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
47.0,1.0,12118,91062,29156,49646,219300,19978,133509,68266,192101,87157,107001,82048,12119,78184,5700,1446,60127,29548,107120,253281,175341,21738,345841,7198,28988,263849,40576,47502,224913,36705,407078,241870,2022-11-15T11:16:19.968000-05:00,25.39121900826446,45.10634297520661,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
48.0,1.0,12119,91032,29135,49625,219299,19973,133514,68264,192071,87119,106962,81524,12118,78163,5701,1448,60098,29545,107217,253232,175303,21738,345782,7196,28985,263802,40560,47414,224739,36656,407007,241916,2022-11-15T11:16:20.968000-05:00,25.394072164948454,45.01479381443299,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
49.0,1.0,12118,91014,29146,49601,219272,19968,133408,68288,192046,87098,106930,80989,12119,78164,5701,1446,60112,29548,107156,253204,175072,21739,345725,7192,28973,263744,40544,47328,224685,36594,406786,241807,2022-11-15T11:16:21.968000-05:00,25.38376288659794,44.90139175257732,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
50.0,1.0,12116,90994,29150,49579,219312,19967,133327,68287,192028,87094,106891,80467,12119,78118,5698,1448,60121,29537,107308,253135,175146,21734,345628,7187,28969,263704,40534,47227,224641,36558,407076,241726,2022-11-15T11:16:22.968000-05:00,25.38658713692946,44.800715767634856,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
51.0,1.0,12117,90991,29160,49561,219248,19969,133474,68281,192043,87074,106856,79946,12118,78044,5698,1448,60110,29535,106904,253105,175385,21728,345549,7183,28964,263682,40520,47113,224528,36514,406990,241761,2022-11-15T11:16:23.968000-05:00,25.403993743482793,44.707028154327425,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
52.0,1.0,12117,90969,29172,49538,219120,19966,133525,68231,192112,87051,106801,79462,12118,78022,5694,1447,60088,29534,106696,252969,175437,21732,345591,7180,28958,263532,40499,47024,224322,36445,407091,241814,2022-11-15T11:16:24.968000-05:00,25.395319587628865,44.606597938144326,100360_9606_705204,20221115_1115_agritech_bfusmalljarhumidity_4_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,b168e96a-811c-4e3b-be46-0a2907b61d24,exposure,humidity
