seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12419,99895,29483,52306,221675,20276,133553,69228,192710,87585,142767,76975,12217,80504,5775,1453,60021,29593,103955,252026,177727,21551,351660,8059,29117,260943,42604,47858,309307,36121,411032,242289,2022-11-15T16:21:07.496000-05:00,25.11,34.6,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
1.0,1.0,12421,99889,29482,52283,221638,20276,133543,69218,192745,87591,142747,76902,12216,80538,5772,1453,60084,29586,103855,252142,177560,21541,351362,8055,29130,261021,42608,47841,308855,36132,411178,242317,2022-11-15T16:21:08.496000-05:00,25.1,34.57936016511868,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
2.0,1.0,12418,99937,29457,52318,221562,20274,133638,69254,192694,87575,142655,76904,12214,80631,5771,1453,60038,29583,103872,252008,177759,21547,351434,8056,29130,261071,42606,47861,309191,36110,411325,242325,2022-11-15T16:21:09.496000-05:00,25.09936082474227,34.560639175257734,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
3.0,1.0,12416,99908,29455,52320,221675,20275,133647,69230,192750,87584,142699,76863,12212,80523,5770,1457,60021,29584,104324,251977,177644,21545,351603,8056,29110,260977,42604,47837,309219,36109,410850,242212,2022-11-15T16:21:10.496000-05:00,25.091896907216494,34.569051546391755,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
4.0,1.0,12418,99895,29461,52330,221695,20277,133823,69204,192792,87583,142691,76818,12212,80584,5772,1458,59998,29594,104351,252015,178061,21550,351687,8061,29135,261082,42589,47835,309044,36090,410909,242280,2022-11-15T16:21:11.496000-05:00,25.11,34.56125902992776,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
5.0,1.0,12421,99890,29441,52341,221517,20273,133774,69204,192739,87577,142686,76822,12216,80544,5769,1458,60038,29589,104101,252069,177892,21551,351880,8056,29113,261073,42611,47840,308899,36091,410992,242175,2022-11-15T16:21:12.496000-05:00,25.11315789473684,34.566842105263156,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
6.0,1.0,12417,99885,29438,52362,221586,20268,133512,69176,192815,87574,142643,76786,12214,80531,5770,1458,60056,29586,104050,252027,177824,21554,351664,8054,29109,261002,42593,47830,309037,36074,411004,242092,2022-11-15T16:21:13.496000-05:00,25.124303405572753,34.54810113519092,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
7.0,1.0,12422,99861,29428,52321,221620,20274,133515,69227,192727,87578,142703,76819,12211,80495,5770,1458,60041,29583,104374,251996,177944,21546,351634,8053,29124,260977,42595,47828,308864,36077,411163,242248,2022-11-15T16:21:14.496000-05:00,25.10221649484536,34.537783505154636,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
8.0,1.0,12422,99872,29439,52322,221772,20274,133671,69236,192632,87569,142682,76767,12214,80567,5767,1458,60070,29592,104432,251897,178059,21555,351344,8053,29117,260983,42595,47824,308828,36084,411098,242230,2022-11-15T16:21:15.496000-05:00,25.11,34.53253886010363,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
9.0,1.0,12419,99861,29426,52353,221643,20275,133590,69211,192678,87577,142678,76724,12213,80607,5769,1456,60045,29592,104336,251957,177958,21560,351484,8050,29115,261029,42594,47824,308763,36068,411181,242212,2022-11-15T16:21:16.496000-05:00,25.10710743801653,34.53421487603306,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
10.0,1.0,12414,99879,29460,52343,221577,20275,133576,69196,192703,87565,142672,76751,12211,80525,5767,1456,60077,29592,104161,251930,178011,21548,351603,8050,29108,260972,42592,47818,308577,36063,411089,242136,2022-11-15T16:21:17.496000-05:00,25.09678350515464,34.523216494845364,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
11.0,1.0,12416,99878,29457,52326,221642,20274,133608,69206,192646,87588,142671,76737,12213,80531,5768,1456,60045,29586,104161,251904,178083,21549,351564,8050,29102,260966,42592,47827,308723,36065,411034,241949,2022-11-15T16:21:18.496000-05:00,25.097051546391754,34.526474226804126,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
12.0,1.0,12418,99890,29433,52313,221628,20269,133683,69214,192667,87588,142684,76705,12213,80533,5768,1455,60009,29601,103966,251965,177863,21546,351579,8051,29098,260953,42584,47820,308684,36070,411027,242015,2022-11-15T16:21:19.496000-05:00,25.102314049586777,34.51231404958678,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
13.0,1.0,12418,99853,29441,52299,221663,20269,133684,69204,192753,87569,142630,76688,12213,80618,5766,1454,60060,29598,103902,251993,177904,21545,351548,8049,29090,260925,42588,47820,308752,36077,411100,241979,2022-11-15T16:21:20.496000-05:00,25.102481977342947,34.49583934088569,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
14.0,1.0,12417,99875,29449,52285,221612,20271,133679,69209,192780,87544,142590,76689,12211,80620,5765,1455,60036,29593,103915,251954,177829,21543,351644,8047,29099,260898,42593,47814,308745,36058,411107,241946,2022-11-15T16:21:21.496000-05:00,25.124463917525773,34.485536082474226,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
15.0,1.0,12417,99916,29434,52299,221710,20273,133626,69238,192732,87564,142602,76679,12213,80572,5766,1456,60036,29586,104040,252004,177781,21538,351561,8045,29093,260889,42581,47790,308700,36045,410974,241931,2022-11-15T16:21:22.496000-05:00,25.120443756449948,34.48477812177502,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
16.0,1.0,12417,99902,29429,52307,221759,20276,133551,69224,192706,87567,142623,76639,12212,80568,5766,1455,60056,29592,104045,252025,177766,21539,351527,8041,29089,260882,42576,47784,308606,36036,411157,242013,2022-11-15T16:21:23.496000-05:00,25.115098039215688,34.49509803921569,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
17.0,1.0,12413,99889,29435,52318,221707,20278,133769,69205,192696,87552,142622,76618,12214,80630,5767,1455,60006,29597,104090,252001,177620,21532,351717,8040,29092,260900,42583,47788,308675,36024,411194,241977,2022-11-15T16:21:24.496000-05:00,25.114593202883626,34.48377960865088,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
18.0,1.0,12413,99891,29429,52312,221621,20275,133775,69198,192617,87569,142597,76615,12214,80637,5766,1456,60019,29595,104271,251957,177670,21526,351795,8039,29102,260837,42584,47780,308721,36034,411000,241929,2022-11-15T16:21:25.496000-05:00,25.12143446852425,34.47,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
19.0,1.0,12415,99878,29434,52299,221630,20275,133719,69195,192633,87573,142600,76572,12214,80603,5766,1457,60021,29587,104271,251919,177671,21535,351717,8038,29108,260686,42581,47761,308612,36032,410929,241964,2022-11-15T16:21:26.496000-05:00,25.117938144329898,34.46396907216495,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
20.0,1.0,12415,99868,29437,52308,221737,20276,133672,69188,192629,87562,142588,76572,12215,80664,5765,1456,60031,29591,104315,251945,177700,21542,351608,8037,29109,260666,42576,47760,308778,36023,410922,241970,2022-11-15T16:21:27.496000-05:00,25.11634020618557,34.46,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
21.0,1.0,12415,99860,29463,52313,221730,20269,133698,69201,192631,87551,142548,76587,12215,80645,5763,1456,60019,29592,104221,252000,177791,21543,351501,8038,29107,260807,42571,47759,308956,36003,410759,242079,2022-11-15T16:21:28.496000-05:00,25.126656346749225,34.453343653250776,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
22.0,1.0,12415,99823,29456,52305,221655,20270,133891,69209,192612,87580,142552,76576,12215,80659,5762,1455,60062,29585,104142,251965,177940,21544,351665,8037,29098,260755,42570,47740,308615,35982,410699,242041,2022-11-15T16:21:29.496000-05:00,25.123030927835053,34.44303092783505,100360_9606_705204,20221115_1620_agritech_batch2bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,ce3be4e4-9737-4240-b9e8-f24f6b936cdc,baseline,moldy
